id,age,gender,sign_up_method,payment_method,no_of_devices
86,49,F,Email,PayPal,1
87,41,F,Email,PayPal,4
88,57,F,Facebook,Debit card,3
89,53,F,Google,Credit card,4
90,54,M,Email,Credit card,3
91,62,F,Email,PayPal,3
92,75,F,Google,Credit card,3
93,58,F,Facebook,Debit card,3
94,67,M,Email,PayPal,4
95,46,M,Email,PayPal,2
96,25,M,Google,Debit card,2
97,54,F,Facebook,Credit card,3
98,21,F,Email,Debit card,1
99,58,F,Google,Debit card,1
100,32,M,Facebook,Debit card,1
101,36,F,Google,Credit card,3
102,24,F,Facebook,Debit card,2
103,76,F,Google,Debit card,3
104,42,F,Facebook,PayPal,1
105,44,F,Facebook,PayPal,2
106,62,M,Google,Debit card,3
107,64,M,Email,Credit card,2
108,73,M,Email,Debit card,1
109,54,M,Facebook,Credit card,1
110,39,F,Google,PayPal,4
111,25,F,Facebook,Credit card,1
112,54,F,Facebook,Debit card,3
113,45,F,Facebook,Debit card,2
114,80,F,Email,Debit card,3
115,20,F,Google,Debit card,1
116,76,F,Facebook,Debit card,3
117,51,M,Email,Debit card,4
118,77,F,Facebook,Debit card,1
119,68,F,Google,PayPal,3
120,27,M,Facebook,Debit card,1
121,32,M,Google,Debit card,1
122,62,F,Facebook,Debit card,1
123,77,F,Google,Credit card,2
124,45,M,Google,Debit card,2
125,37,M,Email,PayPal,4
126,34,M,Email,PayPal,4
127,54,F,Google,Credit card,1
128,61,M,Google,Debit card,2
129,66,F,Email,Credit card,4
130,44,M,Facebook,Credit card,1
131,23,F,Facebook,Debit card,4
132,35,M,Facebook,Debit card,3
133,55,F,Email,Debit card,2
134,81,M,Email,PayPal,4
135,62,F,Email,Credit card,3
136,42,F,Facebook,Debit card,1
137,81,M,Email,Debit card,2
138,73,F,Email,Credit card,4
139,25,F,Google,Debit card,4
140,61,M,Facebook,PayPal,3
141,31,M,Google,Debit card,1
142,54,F,Google,Credit card,4
143,80,F,Email,Credit card,4
144,21,M,Facebook,Debit card,3
145,60,M,Facebook,Debit card,4
146,37,F,Google,Debit card,2
147,25,M,Email,PayPal,1
148,81,M,Email,Debit card,1
149,50,M,Google,Credit card,1
150,70,F,Email,PayPal,3
151,38,F,Google,PayPal,4
152,47,F,Google,Debit card,1
153,28,F,Email,Debit card,4
154,69,F,Google,PayPal,3
155,27,M,Google,Credit card,2
156,60,F,Google,PayPal,4
157,32,F,Facebook,Credit card,4
158,60,F,Facebook,PayPal,4
159,31,M,Facebook,Credit card,2
160,62,F,Email,PayPal,3
161,51,F,Email,PayPal,2
162,72,M,Email,PayPal,3
163,55,F,Email,Debit card,2
164,56,F,Email,Debit card,2
165,62,F,Google,Credit card,3
166,23,M,Facebook,Credit card,3
167,22,F,Email,Credit card,3
168,76,M,Email,PayPal,4
169,76,M,Google,Debit card,1
170,22,M,Email,Credit card,1
171,24,F,Google,Debit card,4
172,19,M,Email,PayPal,2
173,66,M,Google,Debit card,3
174,75,F,Google,PayPal,1
175,56,M,Email,Credit card,3
176,42,F,Google,PayPal,4
177,60,M,Facebook,Debit card,3
178,34,M,Facebook,PayPal,4
179,31,M,Email,Debit card,3
180,25,F,Email,Credit card,1
181,69,M,Email,Credit card,2
182,33,F,Facebook,Credit card,3
183,60,F,Facebook,Debit card,2
184,78,M,Email,PayPal,4
185,79,M,Google,Credit card,3
186,52,M,Google,Credit card,4
187,52,M,Email,Debit card,2
188,36,F,Google,PayPal,1
189,27,M,Email,Debit card,2
190,73,M,Facebook,PayPal,2
191,19,F,Email,Credit card,1
192,80,M,Facebook,Credit card,2
193,33,M,Facebook,Credit card,2
194,54,M,Google,Debit card,2
195,71,F,Email,Credit card,2
196,47,M,Google,PayPal,4
197,78,M,Facebook,Credit card,4
198,24,M,Facebook,PayPal,1
199,39,M,Email,Credit card,2
200,58,M,Facebook,Credit card,4
201,79,M,Google,PayPal,2
202,74,M,Email,PayPal,4
203,61,M,Facebook,PayPal,4
204,70,F,Google,Credit card,1
205,69,M,Facebook,Credit card,2
206,37,M,Facebook,Credit card,3
207,69,M,Facebook,PayPal,2
208,37,M,Google,Credit card,4
209,71,F,Google,PayPal,3
210,35,F,Google,Credit card,4
211,80,M,Email,Credit card,3
212,62,M,Email,Debit card,4
213,45,M,Facebook,Credit card,2
214,56,M,Email,Credit card,3
215,21,M,Google,Debit card,4
216,61,M,Google,Credit card,3
217,51,M,Google,Credit card,2
218,53,F,Google,Debit card,1
219,21,M,Email,Credit card,3
220,38,M,Google,Debit card,1
221,80,F,Google,Debit card,4
222,38,F,Facebook,Debit card,3
223,31,M,Email,PayPal,4
224,66,M,Google,Credit card,2
225,33,M,Google,Debit card,4
226,67,F,Email,Credit card,2
227,77,M,Facebook,PayPal,1
228,28,M,Email,PayPal,2
229,68,F,Facebook,Credit card,3
230,38,F,Email,Credit card,2
231,74,M,Email,Debit card,3
232,29,M,Google,Credit card,4
233,80,F,Facebook,PayPal,4
234,54,M,Facebook,Debit card,4
235,22,M,Facebook,PayPal,3
236,23,M,Google,Credit card,1
237,40,F,Facebook,Credit card,3
238,72,M,Google,PayPal,2
239,73,F,Google,Credit card,4
240,49,M,Google,Debit card,1
241,21,F,Facebook,PayPal,1
242,23,F,Email,Debit card,4
243,43,F,Google,Credit card,4
244,71,F,Email,Debit card,1
245,69,F,Facebook,PayPal,4
246,50,M,Facebook,Debit card,4
247,79,M,Email,PayPal,3
248,56,F,Google,PayPal,3
249,33,M,Email,PayPal,3
250,43,F,Email,Credit card,2
251,44,M,Google,Credit card,2
252,52,M,Facebook,PayPal,4
253,57,F,Google,Debit card,3
254,66,F,Facebook,Credit card,3
255,80,F,Email,Credit card,4
256,62,F,Email,Credit card,4
257,63,M,Email,Credit card,2
258,19,M,Google,PayPal,2
259,36,M,Email,PayPal,4
260,59,M,Facebook,PayPal,4
261,39,F,Email,PayPal,1
262,31,M,Email,Debit card,2
263,32,F,Facebook,Debit card,2
264,21,M,Facebook,Credit card,2
265,52,M,Google,Credit card,3
266,43,F,Email,Credit card,2
267,30,M,Facebook,Credit card,4
268,42,F,Google,PayPal,4
269,81,M,Email,PayPal,3
270,42,M,Email,Debit card,3
271,39,M,Email,Credit card,2
272,54,F,Facebook,Credit card,1
273,46,M,Facebook,PayPal,3
274,55,F,Facebook,Credit card,1
275,79,F,Google,PayPal,3
276,25,F,Google,Credit card,3
277,70,F,Facebook,PayPal,4
278,26,F,Email,Credit card,1
279,45,F,Email,Debit card,4
280,28,F,Facebook,PayPal,4
281,74,M,Google,PayPal,2
282,31,M,Facebook,Credit card,1
283,64,M,Google,Credit card,1
284,42,F,Email,PayPal,2
285,61,F,Google,PayPal,1
286,75,M,Facebook,Credit card,2
287,48,M,Google,Debit card,3
288,44,F,Facebook,Credit card,1
289,45,F,Google,PayPal,2
290,55,F,Email,Debit card,3
291,64,F,Google,Credit card,1
292,70,F,Facebook,PayPal,3
293,23,M,Google,Debit card,1
294,75,F,Google,Credit card,1
295,29,F,Facebook,Debit card,3
296,31,M,Facebook,Debit card,2
297,36,F,Google,Credit card,3
298,55,F,Email,Debit card,3
299,75,M,Facebook,Debit card,4
300,54,F,Facebook,PayPal,4
301,49,F,Email,Debit card,4
302,20,F,Google,Debit card,3
303,76,F,Facebook,Debit card,3
304,57,M,Email,PayPal,3
305,30,F,Email,Credit card,3
306,50,M,Facebook,Debit card,3
307,53,M,Facebook,Debit card,4
308,54,M,Google,Credit card,1
309,60,F,Facebook,PayPal,1
310,55,M,Google,Debit card,4
311,48,F,Google,Debit card,3
312,76,F,Facebook,Debit card,3
313,35,M,Google,Debit card,1
314,41,M,Google,Credit card,1
315,47,F,Email,Debit card,1
316,38,F,Google,Credit card,3
317,67,M,Facebook,Credit card,4
318,21,F,Google,PayPal,1
319,33,M,Email,Debit card,2
320,46,F,Google,Credit card,3
321,53,M,Google,Debit card,4
322,61,M,Facebook,PayPal,4
323,60,F,Email,PayPal,3
324,28,F,Facebook,Credit card,1
325,33,F,Facebook,Debit card,3
326,71,M,Email,Credit card,1
327,51,F,Facebook,Debit card,2
328,30,F,Facebook,Debit card,4
329,31,M,Email,Credit card,4
330,21,F,Email,PayPal,1
331,22,F,Email,Debit card,3
332,29,F,Facebook,PayPal,1
333,27,F,Email,Debit card,1
334,31,F,Email,Credit card,2
335,27,F,Email,Credit card,3
336,45,F,Email,Debit card,4
337,50,F,Google,Credit card,1
338,38,F,Email,Debit card,3
339,80,F,Facebook,PayPal,1
340,78,F,Facebook,PayPal,2
341,69,F,Email,PayPal,1
342,55,F,Email,Credit card,2
343,58,F,Facebook,Debit card,4
344,43,F,Google,Credit card,2
345,81,F,Facebook,Debit card,2
346,21,M,Email,Credit card,2
347,56,F,Facebook,Debit card,3
348,81,M,Email,Credit card,2
349,26,F,Google,PayPal,4
350,77,F,Google,Debit card,1
351,53,M,Email,PayPal,1
352,47,F,Facebook,Credit card,2
353,60,F,Email,PayPal,1
354,64,F,Email,PayPal,2
355,59,F,Google,Debit card,1
356,19,M,Email,PayPal,4
357,18,F,Facebook,Credit card,1
358,43,M,Google,PayPal,1
359,52,F,Email,Credit card,2
360,26,M,Google,Debit card,4
361,36,F,Google,Debit card,1
362,24,M,Google,Debit card,1
363,73,M,Email,Debit card,3
364,42,M,Email,Credit card,2
365,27,F,Google,PayPal,4
366,32,M,Email,PayPal,2
367,66,F,Google,Credit card,1
368,28,F,Google,Credit card,4
369,76,M,Email,PayPal,2
370,57,M,Email,Credit card,1
371,73,M,Google,Debit card,2
372,32,M,Facebook,PayPal,3
373,53,F,Google,PayPal,2
374,72,F,Google,PayPal,1
375,73,M,Facebook,Credit card,2
376,27,F,Facebook,PayPal,4
377,61,M,Google,PayPal,1
378,41,F,Google,Credit card,4
379,62,F,Email,Credit card,3
380,51,M,Email,PayPal,3
381,42,F,Email,Credit card,4
382,39,M,Facebook,Credit card,2
383,20,F,Google,Debit card,4
384,22,M,Google,PayPal,3
385,72,F,Email,Credit card,3
386,24,F,Email,Debit card,1
387,67,F,Google,PayPal,1
388,42,F,Google,Credit card,2
389,68,F,Facebook,Credit card,3
390,33,M,Facebook,Debit card,2
391,44,F,Facebook,Credit card,1
392,51,F,Facebook,Credit card,3
393,21,F,Google,Debit card,3
394,72,F,Facebook,Credit card,4
395,33,F,Facebook,PayPal,2
396,28,M,Google,PayPal,3
397,28,F,Email,PayPal,4
398,27,F,Email,PayPal,1
399,75,M,Google,PayPal,2
400,38,F,Email,Debit card,4
401,42,F,Google,PayPal,2
402,33,F,Google,Credit card,2
403,62,M,Email,Credit card,3
404,65,F,Google,Credit card,2
405,43,F,Facebook,Credit card,3
406,63,F,Google,Debit card,1
407,30,F,Google,Credit card,3
408,80,F,Google,Credit card,3
409,24,M,Email,Debit card,2
410,33,F,Facebook,PayPal,1
411,26,M,Google,Credit card,2
412,61,F,Google,PayPal,3
413,18,F,Facebook,Credit card,2
414,23,M,Google,Credit card,1
415,41,F,Email,Credit card,3
416,43,M,Google,PayPal,1
417,61,F,Google,Debit card,2
418,49,F,Facebook,PayPal,3
419,43,F,Facebook,PayPal,3
420,19,M,Email,Credit card,4
421,23,M,Google,PayPal,2
422,79,M,Email,Debit card,2
423,22,M,Facebook,Credit card,1
424,42,M,Google,Credit card,2
425,66,F,Facebook,Debit card,2
426,19,F,Facebook,Debit card,1
427,58,F,Google,Debit card,2
428,51,F,Google,Credit card,1
429,70,F,Email,Credit card,3
430,71,M,Google,Debit card,3
431,45,F,Google,Credit card,4
432,37,F,Google,PayPal,1
433,34,M,Google,Debit card,3
434,18,M,Facebook,Debit card,3
435,26,M,Facebook,Credit card,2
436,49,M,Facebook,Debit card,4
437,52,M,Google,Debit card,2
438,44,M,Facebook,PayPal,2
439,56,F,Email,PayPal,1
440,18,M,Email,Debit card,1
441,60,M,Email,Debit card,1
442,65,F,Email,PayPal,2
443,61,M,Email,Debit card,4
444,60,M,Facebook,Credit card,2
445,65,M,Google,Debit card,1
446,34,M,Facebook,PayPal,3
447,29,M,Email,Debit card,4
448,23,M,Email,Debit card,2
449,75,M,Email,Debit card,4
450,47,F,Email,Credit card,2
451,38,F,Google,Debit card,1
452,78,F,Facebook,Credit card,1
453,72,M,Email,Debit card,2
454,18,M,Google,Debit card,4
455,54,M,Email,Debit card,2
456,23,M,Email,Debit card,4
457,77,F,Email,PayPal,3
458,55,M,Email,Debit card,2
459,47,F,Facebook,Debit card,3
460,44,F,Facebook,Debit card,2
461,25,M,Email,Debit card,4
462,24,F,Facebook,Credit card,4
463,29,F,Email,PayPal,1
464,31,M,Google,Debit card,4
465,56,F,Facebook,PayPal,4
466,18,M,Email,Credit card,2
467,21,M,Google,Credit card,2
468,30,M,Google,PayPal,2
469,75,M,Google,Debit card,2
470,27,M,Email,Debit card,2
471,18,F,Email,Credit card,3
472,54,M,Email,Debit card,3
473,65,M,Email,Debit card,2
474,20,M,Facebook,PayPal,4
475,66,M,Email,PayPal,2
476,20,F,Google,Debit card,3
477,65,F,Email,PayPal,1
478,38,F,Facebook,PayPal,3
479,66,M,Email,Debit card,3
480,39,F,Facebook,Credit card,3
481,43,M,Google,Credit card,2
482,32,F,Google,Credit card,3
483,21,M,Facebook,PayPal,3
484,40,F,Facebook,Credit card,2
485,18,F,Facebook,PayPal,3
486,75,M,Facebook,Credit card,2
487,44,M,Email,PayPal,1
488,69,F,Email,PayPal,4
489,34,M,Google,Credit card,1
490,55,M,Email,Credit card,4
491,66,M,Facebook,PayPal,4
492,80,M,Email,PayPal,3
493,42,M,Google,Debit card,3
494,73,F,Email,Debit card,3
495,71,F,Facebook,Debit card,1
496,43,M,Email,Credit card,1
497,24,M,Google,Debit card,1
498,57,M,Google,Debit card,1
499,39,M,Email,Debit card,2
500,61,F,Facebook,Debit card,3
501,29,F,Email,Credit card,4
502,77,F,Google,Credit card,4
503,53,M,Facebook,PayPal,1
504,59,M,Email,PayPal,3
505,61,M,Facebook,Credit card,1
506,49,M,Facebook,Debit card,1
507,63,F,Google,Credit card,2
508,46,M,Google,PayPal,1
509,24,F,Facebook,PayPal,3
510,79,M,Google,Debit card,4
511,26,M,Google,PayPal,1
512,28,F,Google,PayPal,2
513,50,F,Facebook,Debit card,2
514,63,M,Email,PayPal,2
515,73,M,Google,PayPal,1
516,80,F,Email,Credit card,2
517,77,F,Facebook,Debit card,4
518,53,M,Google,PayPal,4
519,60,M,Google,Credit card,4
520,80,F,Email,Debit card,4
521,29,F,Email,PayPal,3
522,39,M,Email,Debit card,4
523,59,F,Email,Debit card,1
524,65,F,Email,PayPal,4
525,18,M,Google,Debit card,2
526,44,M,Email,PayPal,1
527,79,M,Facebook,Credit card,3
528,28,F,Google,Credit card,2
529,78,F,Facebook,PayPal,2
530,59,F,Email,Debit card,4
531,55,M,Email,PayPal,3
532,20,M,Email,PayPal,4
533,68,M,Google,Credit card,4
534,81,M,Email,PayPal,3
535,75,F,Google,Credit card,2
536,63,M,Facebook,Credit card,3
537,65,F,Facebook,Credit card,4
538,58,F,Email,Credit card,1
539,56,F,Google,Credit card,2
540,19,F,Facebook,Credit card,3
541,74,F,Email,PayPal,3
542,41,F,Google,Credit card,1
543,45,F,Facebook,PayPal,4
544,34,F,Facebook,Debit card,4
545,49,F,Facebook,Credit card,1
546,63,F,Email,Debit card,2
547,21,M,Facebook,Credit card,1
548,67,M,Facebook,Credit card,1
549,57,F,Facebook,PayPal,3
550,62,F,Facebook,Credit card,3
551,41,F,Email,PayPal,2
552,49,M,Google,Debit card,4
553,72,F,Email,Debit card,1
554,40,M,Email,PayPal,2
555,48,M,Email,Debit card,2
556,47,F,Facebook,Credit card,3
557,30,M,Google,Debit card,3
558,33,M,Facebook,PayPal,3
559,25,F,Email,Debit card,1
560,70,M,Facebook,Credit card,4
561,70,M,Facebook,PayPal,2
562,50,F,Facebook,Debit card,2
563,60,F,Google,Debit card,2
564,77,F,Facebook,Credit card,2
565,64,M,Google,Debit card,1
566,49,F,Facebook,PayPal,1
567,47,F,Facebook,Credit card,3
568,56,M,Facebook,Credit card,1
569,77,F,Email,Debit card,4
570,78,F,Email,Credit card,1
571,71,M,Google,Credit card,1
572,34,F,Email,PayPal,2
573,26,M,Facebook,PayPal,2
574,35,M,Google,PayPal,2
575,33,M,Email,Credit card,4
576,20,F,Google,PayPal,2
577,58,M,Google,Credit card,3
578,29,M,Facebook,PayPal,4
579,61,F,Email,Debit card,3
580,23,M,Google,Credit card,4
581,43,F,Email,Debit card,3
582,25,M,Facebook,PayPal,2
583,39,M,Email,PayPal,1
584,33,M,Facebook,Credit card,3
585,36,M,Facebook,Debit card,3
586,58,M,Google,Debit card,2
587,52,F,Email,Debit card,3
588,48,M,Google,PayPal,3
589,31,M,Google,PayPal,1
590,79,F,Email,PayPal,4
591,25,F,Email,PayPal,3
592,24,F,Email,Credit card,4
593,70,F,Facebook,Debit card,1
594,20,M,Email,PayPal,1
595,72,F,Email,PayPal,3
596,81,M,Facebook,Debit card,3
597,32,M,Facebook,Debit card,3
598,74,M,Google,Credit card,2
599,72,M,Email,Credit card,1
600,78,M,Google,Debit card,4
601,33,F,Google,Debit card,1
602,61,M,Google,Debit card,3
603,37,F,Email,Debit card,4
604,59,M,Email,Credit card,2
605,77,F,Facebook,Credit card,4
606,44,M,Facebook,PayPal,4
607,44,M,Email,Debit card,2
608,59,M,Google,Credit card,3
609,47,M,Google,PayPal,1
610,23,M,Email,Credit card,3
611,69,F,Google,PayPal,4
612,60,M,Facebook,Credit card,3
613,55,F,Google,Credit card,3
614,19,M,Google,Credit card,1
615,25,F,Email,Debit card,3
616,35,M,Facebook,PayPal,4
617,80,F,Facebook,PayPal,4
618,75,M,Facebook,PayPal,3
619,69,F,Facebook,Credit card,4
620,34,F,Facebook,Credit card,1
621,81,M,Facebook,PayPal,3
622,75,F,Email,PayPal,2
623,19,M,Google,PayPal,3
624,28,F,Email,Credit card,2
625,29,M,Google,Debit card,3
626,43,M,Email,Debit card,3
627,64,F,Email,Credit card,4
628,23,F,Email,PayPal,1
629,69,M,Email,PayPal,3
630,80,F,Google,Debit card,2
631,78,F,Facebook,PayPal,3
632,75,F,Email,Debit card,3
633,51,M,Email,PayPal,2
634,18,F,Email,PayPal,4
635,55,M,Facebook,Debit card,3
636,55,M,Email,Debit card,1
637,45,M,Email,PayPal,1
638,27,F,Google,PayPal,2
639,36,M,Google,Credit card,4
640,33,M,Facebook,PayPal,4
641,46,M,Facebook,Debit card,1
642,60,F,Facebook,Debit card,3
643,78,M,Facebook,PayPal,1
644,62,M,Facebook,Debit card,4
645,69,F,Google,PayPal,4
646,64,M,Facebook,Credit card,3
647,24,F,Google,PayPal,2
648,53,F,Email,PayPal,3
649,79,M,Email,PayPal,4
650,56,M,Email,Credit card,3
651,68,F,Google,PayPal,2
652,62,M,Email,Credit card,1
653,71,F,Facebook,Debit card,3
654,72,F,Facebook,Debit card,1
655,44,F,Email,PayPal,3
656,21,M,Google,Debit card,4
657,24,F,Facebook,PayPal,1
658,60,F,Facebook,Debit card,3
659,53,F,Google,Debit card,3
660,79,M,Facebook,Credit card,3
661,30,M,Google,Credit card,4
662,72,M,Email,Credit card,1
663,63,F,Google,Credit card,1
664,22,M,Email,Credit card,4
665,60,M,Google,Credit card,4
666,33,F,Facebook,Credit card,2
667,35,F,Email,Debit card,2
668,38,F,Google,Credit card,3
669,22,F,Google,PayPal,1
670,59,M,Facebook,Credit card,4
671,69,M,Email,Credit card,2
672,66,M,Email,Debit card,4
673,41,M,Email,Credit card,1
674,22,F,Email,PayPal,3
675,19,F,Facebook,Credit card,1
676,79,F,Email,Debit card,2
677,52,F,Google,Credit card,1
678,34,M,Google,PayPal,3
679,39,F,Google,Debit card,3
680,31,M,Facebook,Debit card,3
681,22,F,Facebook,Credit card,2
682,39,F,Google,PayPal,4
683,53,F,Google,Credit card,2
684,53,M,Facebook,Credit card,2
685,22,F,Email,Credit card,2
686,77,F,Google,PayPal,1
687,26,F,Facebook,Debit card,2
688,71,F,Email,Debit card,2
689,31,M,Facebook,Debit card,1
690,49,F,Google,Credit card,4
691,52,F,Email,PayPal,2
692,31,M,Google,PayPal,2
693,47,F,Google,PayPal,1
694,76,F,Email,Debit card,2
695,25,M,Email,Debit card,1
696,32,F,Email,Credit card,1
697,32,F,Email,PayPal,2
698,52,M,Facebook,Debit card,4
699,70,F,Google,Credit card,4
700,70,F,Facebook,Debit card,1
701,47,F,Facebook,Debit card,4
702,56,M,Facebook,PayPal,3
703,79,F,Facebook,Credit card,4
704,56,M,Google,Credit card,3
705,74,M,Facebook,PayPal,4
706,38,M,Facebook,Credit card,3
707,24,M,Google,Credit card,1
708,18,F,Email,PayPal,4
709,70,F,Facebook,Debit card,2
710,47,F,Facebook,Credit card,2
711,80,M,Facebook,Credit card,3
712,78,F,Facebook,Credit card,4
713,80,M,Google,PayPal,4
714,35,F,Email,Debit card,4
715,77,F,Email,Debit card,2
716,34,M,Facebook,PayPal,4
717,33,F,Email,PayPal,2
718,49,F,Google,Debit card,3
719,45,F,Google,PayPal,3
720,74,M,Email,PayPal,2
721,31,F,Facebook,PayPal,3
722,55,F,Google,PayPal,2
723,62,F,Email,Debit card,4
724,74,M,Email,Debit card,4
725,33,F,Facebook,Debit card,3
726,30,F,Email,Debit card,4
727,64,M,Email,Credit card,2
728,50,M,Facebook,Debit card,2
729,22,F,Google,Debit card,4
730,81,M,Facebook,Credit card,3
731,54,F,Google,PayPal,1
732,68,F,Google,Credit card,4
733,49,M,Facebook,PayPal,4
734,55,M,Google,Credit card,4
735,31,F,Email,Debit card,1
736,22,M,Facebook,Debit card,3
737,74,M,Google,PayPal,2
738,43,F,Google,PayPal,2
739,70,M,Email,Debit card,1
740,74,F,Email,Credit card,2
741,66,F,Facebook,PayPal,3
742,64,M,Email,PayPal,1
743,26,M,Facebook,Credit card,4
744,77,M,Facebook,Debit card,2
745,57,M,Google,PayPal,2
746,53,M,Facebook,Credit card,4
747,67,F,Email,Debit card,3
748,21,M,Google,PayPal,3
749,35,F,Facebook,PayPal,1
750,53,F,Facebook,Debit card,3
751,61,F,Email,PayPal,4
752,76,M,Facebook,PayPal,4
753,38,M,Facebook,Credit card,1
754,46,F,Google,PayPal,3
755,56,F,Facebook,Credit card,1
756,79,F,Email,PayPal,4
757,81,M,Facebook,Debit card,1
758,61,M,Email,Credit card,1
759,41,M,Email,Debit card,3
760,70,F,Email,PayPal,1
761,45,F,Facebook,Credit card,3
762,70,M,Facebook,Debit card,3
763,42,F,Facebook,Credit card,2
764,19,F,Facebook,Credit card,4
765,54,M,Google,PayPal,4
766,39,F,Google,Credit card,2
767,71,F,Facebook,Debit card,3
768,39,M,Facebook,Credit card,1
769,23,M,Google,PayPal,1
770,79,M,Facebook,PayPal,4
771,47,F,Google,PayPal,3
772,68,M,Email,Credit card,2
773,54,F,Google,PayPal,2
774,33,M,Google,Credit card,1
775,60,F,Email,Credit card,1
776,66,F,Email,Debit card,1
777,45,F,Email,Debit card,3
778,71,M,Facebook,PayPal,1
779,53,M,Facebook,Credit card,3
780,18,M,Google,Credit card,3
781,63,M,Email,Debit card,4
782,25,F,Facebook,Debit card,1
783,61,F,Google,PayPal,2
784,58,F,Facebook,PayPal,3
785,19,M,Google,PayPal,4
786,62,M,Facebook,PayPal,2
787,34,F,Google,Debit card,3
788,21,M,Email,Debit card,1
789,42,M,Email,Credit card,3
790,48,M,Facebook,Debit card,2
791,57,M,Facebook,Credit card,1
792,75,M,Email,Debit card,4
793,24,F,Google,Credit card,3
794,41,F,Facebook,PayPal,4
795,52,F,Google,PayPal,4
796,62,M,Facebook,PayPal,3
797,41,M,Facebook,Debit card,2
798,20,M,Facebook,Credit card,1
799,20,M,Google,PayPal,2
800,69,M,Email,Credit card,1
801,66,F,Email,PayPal,4
802,71,M,Google,PayPal,2
803,70,M,Facebook,PayPal,3
804,64,F,Email,PayPal,1
805,79,M,Email,Debit card,4
806,62,M,Facebook,Debit card,4
807,72,M,Google,Credit card,1
808,41,F,Google,Debit card,2
809,27,M,Email,PayPal,2
810,46,F,Google,Debit card,3
811,54,F,Facebook,Credit card,3
812,44,F,Facebook,PayPal,4
813,19,F,Email,Debit card,2
814,76,M,Google,PayPal,4
815,69,M,Email,Credit card,1
816,53,M,Google,PayPal,1
817,37,M,Google,PayPal,1
818,47,M,Google,PayPal,3
819,80,M,Facebook,Credit card,1
820,45,F,Email,PayPal,4
821,39,F,Email,Credit card,3
822,30,M,Google,PayPal,4
823,52,F,Email,Debit card,2
824,78,F,Email,PayPal,1
825,42,F,Google,Debit card,4
826,60,F,Email,PayPal,3
827,19,M,Facebook,Debit card,1
828,47,M,Facebook,Credit card,3
829,52,M,Google,PayPal,3
830,57,M,Facebook,Debit card,2
831,52,M,Google,Debit card,2
832,61,F,Email,PayPal,4
833,41,M,Facebook,PayPal,1
834,53,F,Facebook,Debit card,1
835,49,F,Email,Debit card,3
836,46,F,Facebook,Credit card,3
